# persist.sys.fanctrl.by.temperatue=0, stock ladder disabled
epoch,step,phase,level_cmd,duty_cmd,adc,fan_rb,level_rb,led_status,pll,ddr,sar
1788607441,1,4:40,4,40,1627,40,4,1,49400,51500,46200
1788607442,1,4:40,4,40,1633,40,4,1,49300,51500,46200
1788607444,1,4:40,4,40,1627,40,4,1,49500,51700,46200
1788607445,1,4:40,4,40,1628,40,4,1,49400,51900,46300
1788607446,1,4:40,4,40,1629,40,4,1,49500,51600,46200
1788607448,1,4:40,4,40,1628,40,4,1,49300,51800,46100
1788607449,1,4:40,4,40,1630,40,4,1,49700,51800,46300
1788607450,1,4:40,4,40,1628,40,4,1,49400,51700,46200
1788607452,1,4:40,4,40,1629,40,4,1,49600,51400,46100
1788607453,1,4:40,4,40,1629,40,4,1,49300,51400,46100
1788607454,1,4:40,4,40,1630,40,4,1,49700,51800,46200
1788607455,1,4:40,4,40,1630,40,4,1,49100,51500,46100
1788607457,1,4:40,4,40,1629,40,4,1,49200,51200,46100
1788607458,1,4:40,4,40,1630,40,4,1,49600,51600,46200
1788607459,1,4:40,4,40,1629,40,4,1,49700,51800,46200
1788607461,1,4:40,4,40,1630,40,4,1,49300,52100,46100
1788607462,1,4:40,4,40,1630,40,4,1,49200,51400,46000
1788607463,1,4:40,4,40,1631,40,4,1,49200,51600,46000
1788607464,1,4:40,4,40,1631,40,4,1,49800,51700,46200
1788607466,1,4:40,4,40,1632,40,4,1,49500,51400,46000
1788607467,1,4:40,4,40,1629,40,4,1,49100,51200,45900
1788607468,1,4:40,4,40,1635,40,4,1,49500,51500,46000
1788607470,1,4:40,4,40,1632,40,4,1,50100,52000,46400
1788607471,1,4:40,4,40,1633,40,4,1,49200,51600,46000
1788607472,1,4:40,4,40,1631,40,4,1,49400,51300,46000
1788607473,1,4:40,4,40,1634,40,4,1,49800,51800,46300
1788607475,1,4:40,4,40,1634,40,4,1,49500,51500,46200
1788607476,1,4:40,4,40,1634,40,4,1,49300,51400,46000
1788607477,1,4:40,4,40,1633,40,4,1,49600,51300,46000
1788607479,1,4:40,4,40,1632,40,4,1,49000,51500,45900
1788607480,1,4:40,4,40,1634,40,4,1,49600,51800,46200
1788607481,1,4:40,4,40,1637,40,4,1,49400,51900,46000
1788607482,1,4:40,4,40,1634,40,4,1,49300,51400,45900
1788607484,1,4:40,4,40,1635,40,4,1,49600,51600,46200
1788607485,1,4:40,4,40,1633,40,4,1,49800,51600,46100
1788607486,1,4:40,4,40,1634,40,4,1,49500,51400,46000
1788607488,1,4:40,4,40,1636,40,4,1,48700,50800,45400
1788607489,1,4:40,4,40,1635,40,4,1,49200,51600,45900
1788607490,1,4:40,4,40,1637,40,4,1,49900,51600,46200
1788607491,1,4:40,4,40,1638,40,4,1,49500,51200,45900
1788607493,1,4:40,4,40,1635,40,4,1,49400,51200,45900
1788607494,1,4:40,4,40,1637,40,4,1,49600,51700,46100
1788607495,1,4:40,4,40,1637,40,4,1,49500,51300,46100
1788607497,1,4:40,4,40,1639,40,4,1,49400,51300,45900
1788607498,1,4:40,4,40,1635,40,4,1,49200,51200,45900
1788607499,1,4:40,4,40,1635,40,4,1,49600,51500,46000
1788607501,1,4:40,4,40,1634,40,4,1,49600,51900,46100
1788607502,1,4:40,4,40,1637,40,4,1,49300,51300,46000
1788607503,1,4:40,4,40,1642,40,4,1,49200,51400,45900
1788607505,1,4:40,4,40,1637,40,4,1,49500,51500,46000
1788607506,1,4:40,4,40,1637,40,4,1,49400,51200,45900
1788607507,1,4:40,4,40,1638,40,4,1,49700,51300,46000
1788607508,1,4:40,4,40,1639,40,4,1,49000,51500,46000
1788607510,1,4:40,4,40,1639,40,4,1,49600,51400,46000
1788607511,1,4:40,4,40,1640,40,4,1,49400,51200,46000
1788607512,1,4:40,4,40,1638,40,4,1,49300,51200,45800
1788607514,1,4:40,4,40,1639,40,4,1,49500,51800,46000
1788607515,1,4:40,4,40,1642,40,4,1,49700,51600,46100
1788607516,1,4:40,4,40,1641,40,4,1,49200,51400,46000
1788607517,1,4:40,4,40,1638,40,4,1,49300,52000,46100
1788607519,1,4:40,4,40,1639,40,4,1,49300,51400,46000
1788607520,1,4:40,4,40,1636,40,4,1,49600,51800,46100
1788607521,1,4:40,4,40,1639,40,4,1,49300,51200,45800
1788607523,1,4:40,4,40,1644,40,4,1,49400,51200,45900
1788607524,2,4:30,4,30,1639,30,4,1,49500,51500,46000
1788607525,2,4:30,4,30,1641,30,4,1,49200,51800,45900
1788607527,2,4:30,4,30,1641,30,4,1,49000,51800,45800
1788607528,2,4:30,4,30,1641,30,4,1,49000,51600,45800
1788607529,2,4:30,4,30,1637,30,4,1,49500,51500,46000
1788607530,2,4:30,4,30,1641,30,4,1,49300,51500,45900
1788607532,2,4:30,4,30,1639,30,4,1,49000,51000,45800
1788607533,2,4:30,4,30,1638,30,4,1,49200,51600,45900
1788607534,2,4:30,4,30,1638,30,4,1,49900,51800,46200
1788607536,2,4:30,4,30,1637,30,4,1,49100,51300,45900
1788607537,2,4:30,4,30,1641,30,4,1,49300,51700,45800
1788607538,2,4:30,4,30,1639,30,4,1,49500,51500,45900
1788607540,2,4:30,4,30,1638,30,4,1,49200,51400,46000
1788607541,2,4:30,4,30,1637,30,4,1,49400,51200,45900
1788607542,2,4:30,4,30,1637,30,4,1,49200,51200,45900
1788607543,2,4:30,4,30,1636,30,4,1,49000,51400,45800
1788607545,2,4:30,4,30,1634,30,4,1,49700,51700,46100
1788607546,2,4:30,4,30,1636,30,4,1,49500,51100,45900
1788607547,2,4:30,4,30,1634,30,4,1,49000,51000,45900
1788607549,2,4:30,4,30,1622,30,4,1,49700,51600,46100
1788607550,2,4:30,4,30,1636,30,4,1,49500,51300,46000
1788607551,2,4:30,4,30,1633,30,4,1,49400,51100,45900
